id,cult,endo,trat,herb,biomasa_total,biomasa_reproductiva,biomasa_seca,biomasa_verde,hojas_totales,n_macollos_pre_ferti,nro_macollos_post_ferti,delta_macollos,panojas_final,panojas_inicial,delta_panojas,tasa_espigacion,spad,C_porcentaje,Nt_porcentaje,P_ppm,C_N_ratio,P_foliar_porcentaje,N_P_ratio,Mycelial_mass_ELISA,Ergovaline_ppm,Peramine_ppm,TotalLolines_ppm,NAL_ppm,NANL_ppm,NFL_ppm,hojas_danadas,area_foliar_daniada_porcentaje,prop_hojas_daniadas,area_daniada_total,peso_ensamble_herbivoros,peso_medio_inicial_herbivoro,peso_medio_final_herbivoro,herbivoros_recuperados,biomasa_total_herbivoros,ratio_BiomHerb_BiomAerea,hifas,vesiculas,arbusculos,colonizacion_total,raw_index_herbivory,index_herbivory,biom_radical
1,WT,E+,T1,H+,6.57,0,1.17,5.4,152,20,41,21,0,0,0,0,29.44,37.07,1.43,3667.7,25.9230769230769,0.36677,3.89890121874744,4.77692307692308,2.819,8.801,317.996,53.089,54.018,210.889,98,NA,0.644736842105263,NA,0.7447,0.14894,0.1924,1,0.1924,0.029284627092846,25,0,37.5,40,NA,NA,6.3729
2,WT,E+,T1,H-,9.6,0,4.63,4.97,130,23,34,11,0,0,0,0,36.38,38.95,1.896,3270.5,20.5432489451477,0.32705,5.79727870356215,7.3525,3.474,10.995,387.434,1.008,94.961,291.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,17.85714286,46.42857143,56,NA,NA,7.1409
3,WT,E+,T2,H-,6.92,0,0.89,6.03,134,21,31,10,0,0,0,0,32.48,38.07,1.745,3488.2,21.8166189111748,0.34882,5.00258012728628,10.5093457943925,7.36,14.442,617.789,69.634,196.251,351.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0,43.47826087,46,NA,NA,
4,WT,E+,T1,H+,6.12,0.49,0.19,5.44,168,27,41,14,0,0,0,0,30.64,39.79,1.536,2188.7,25.9049479166667,0.21887,7.01786448576781,6.16911764705882,0,12.706,475.543,55.248,306.661,113.634,48,NA,0.285714285714286,NA,0.7665,0.1533,0,0,0,0,18,8.474576271,66.10169492,59,NA,NA,5.7789
5,WT,E+,T2,H+,4.26,0.05,1.52,2.69,58,32,41,9,1,0,1,0.090909091,31.94,38.3,1.608,3586.2,23.818407960199,0.35862,4.4838547766438,5.84574468085106,3.745,11.513,530.694,68.706,113.038,348.95,36,12.621,0.620689655172414,7.83372413793103,0.8603,0.17206,0.3847,1,0.3847,0.090305164319249,20,8.771929825,63.15789474,57,11,6.82758620689655,6.453
6,WT,E+,T2,H-,6.4,0,0.78,5.62,93,20,22,2,0,0,0,0,32.74,38.6,1.674,2719.6,23.0585424133811,0.27196,6.15531695837623,4.54381443298969,3.879,6.61,397.985,65.766,65.529,266.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,45.83333333,58.33333333,48,NA,NA,
7,WT,E+,T2,H+,7.37,1.36,1.72,4.29,62,19,32,13,1,1,0,0,31.04,39.89,1.303,2806.3,30.6139677666923,0.28063,4.64312439867441,4.68434343434343,5.35,15.766,879.424,100.405,149.93,629.089,49,NA,0.790322580645161,NA,0.947,0.1894,0.29225,2,0.5845,0.079308005427408,15,5.263157895,55.26315789,38,NA,NA,
8,WT,E-,T2,H-,5.76,0,0.43,5.33,129,20,36,16,0,0,0,0,32.46,38.47,1.559,2902,24.6760744066709,0.2902,5.37215713301172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9.090909091,63.63636364,11,NA,NA,
9,WT,E-,T3,H+,5.77,0,1.85,3.92,158,27,31,4,0,0,0,0,34.46,36.62,1.812,4292.8,20.2097130242826,0.42928,4.22102124487514,NA,NA,NA,NA,NA,NA,NA,89,NA,0.563291139240506,NA,0.7217,0.14434,0.183,1,0.183,0.031715771230503,13,13.79310345,48.27586207,29,NA,NA,
10,WT,E-,T1,H-,6.7,0,1.42,5.28,198,25,37,12,0,0,0,0,34.94,37.58,1.472,3725.9,25.5298913043478,0.37259,3.95072331517217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.43902439,60.97560976,41,NA,NA,4.4312
